Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%?,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
292,Brandon Paul\paulbr01,SG,26,SAS,47,2,9.9,0.9,2.1,0.426,0.3,1,0.304,0.6,1.2,0.527,0.495,0.4,0.6,0.6,0.1,1.2,1.2,0.7,0.5,0.1,0.5,1,2.5
293,J.J. Barea\bareajo01,PG,33,DAL,48,1,22.9,4.2,9.8,0.426,1.6,4.4,0.363,2.6,5.4,0.477,0.507,1.4,1.8,0.773,0.2,3,3.1,5.8,0.5,0,1.9,1.4,11.4
294,Ian Clark\clarkia01,SG,26,NOP,44,1,16.4,2.2,5.1,0.426,0.7,2.4,0.308,1.4,2.7,0.529,0.498,0.5,0.8,0.676,0.1,1.4,1.5,1.2,0.4,0.1,0.6,1.4,5.6
295,Kent Bazemore\bazemke01,SG,28,ATL,51,51,28.1,4.5,10.5,0.425,1.6,4.3,0.384,2.8,6.2,0.454,0.504,2.5,3.1,0.794,0.4,3.6,4,3.6,1.7,0.7,2.5,2.2,13.1
296,Ryan Anderson\anderry01,PF,29,HOU,48,47,28.3,3.4,7.9,0.425,2.1,5.6,0.369,1.3,2.3,0.559,0.555,1.2,1.5,0.792,1.5,3.9,5.4,1,0.4,0.3,0.8,1.9,10
297,Denzel Valentine\valende01,SG,24,CHI,51,31,28.4,3.8,9,0.425,1.9,4.8,0.395,1.9,4.2,0.458,0.529,0.5,0.6,0.8,0.7,4.7,5.4,3.1,0.7,0.1,1.2,2.4,10
298,Justise Winslow\winslju01,SF,21,MIA,37,15,23.2,2.5,6,0.425,0.6,1.5,0.418,1.9,4.5,0.428,0.477,0.7,1.1,0.65,0.9,4.4,5.2,2.1,0.6,0.5,1.1,2,6.4
299,Raymond Felton\feltora01,PG,33,OKC,51,0,16.8,2.8,6.6,0.425,0.9,2.5,0.352,1.9,4.1,0.469,0.491,0.4,0.6,0.733,0.3,1.7,2.1,2.6,0.5,0.2,1,1,7
300,Taurean Waller-Prince\princta02,SF,23,ATL,51,51,30.1,4.4,10.5,0.424,1.8,4.5,0.391,2.7,5.9,0.449,0.508,1.4,1.7,0.802,0.7,4.3,5,2.3,0.9,0.6,2.2,2.2,12
301,Kemba Walker\walkeke02,PG,27,CHO,48,48,34.9,7.5,17.7,0.424,2.7,7.4,0.368,4.8,10.3,0.464,0.501,4.7,5.6,0.84,0.4,3,3.5,5.8,1.2,0.3,2.2,1.4,22.4
302,Trevor Ariza\arizatr01,SF,32,HOU,44,44,35,4.1,9.6,0.424,2.7,7.1,0.383,1.3,2.5,0.541,0.566,1.2,1.4,0.883,0.5,4.1,4.7,1.6,1.5,0.2,0.9,1.9,12.1
303,Jerian Grant\grantje02,PG,25,CHI,51,21,22.3,2.8,6.6,0.424,0.8,2.4,0.336,2,4.2,0.474,0.485,1.7,2.4,0.736,0.4,2,2.4,4.8,0.8,0.1,1.3,1.8,8.2
304,Dejounte Murray\murrade01,PG,21,SAS,53,20,19,2.7,6.4,0.424,0.1,0.3,0.222,2.6,6.1,0.435,0.429,1.2,1.7,0.733,1.2,4,5.2,2.8,0.9,0.3,1.6,1.8,6.8
305,Tyler Johnson\johnsty01,PG,25,MIA,43,15,29.2,4.2,10,0.424,1.6,4.6,0.354,2.6,5.4,0.485,0.506,1.8,2.1,0.835,0.5,3.1,3.6,2.1,0.9,0.6,1.2,2.3,11.9
306,Marcus Morris\morrima03,PF,28,BOS,30,13,24,4.3,10.1,0.424,1.4,3.9,0.356,2.9,6.2,0.468,0.493,2.1,2.7,0.788,0.8,4.5,5.3,1.4,0.6,0.3,1.3,1.9,12.1
307,Joe Johnson\johnsjo02,SF,36,UTA,29,3,22,3,7,0.422,0.7,2.6,0.267,2.3,4.4,0.512,0.471,0.7,0.8,0.826,0.4,3,3.4,1.4,0.4,0.2,1,1.1,7.3
308,Kobi Simmons\simmoko01,PG,20,MEM,12,0,14.7,1.6,3.8,0.422,0.3,1.1,0.231,1.3,2.7,0.5,0.456,0.4,0.4,1,0.3,1.3,1.6,1,0.7,0.3,0.8,1.4,3.8
309,Marc Gasol\gasolma01,C,33,MEM,49,49,34.2,6.2,14.7,0.421,1.4,4.2,0.341,4.8,10.5,0.453,0.47,4.1,4.9,0.842,1.2,7.3,8.5,3.9,0.7,1.5,2.8,2.5,18
310,Eric Gordon\gordoer01,SG,29,HOU,47,24,32.2,6.3,15.1,0.421,3.1,9.3,0.336,3.2,5.8,0.557,0.524,3.3,4.1,0.812,0.4,2,2.4,2.5,0.7,0.3,2.1,1.8,19.1
